InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
567297,84406B,CREAM CUPID HEARTS COAT HANGER,9,11/15/2025 19:30,2.75,15911,United Kingdom
567163,22197,POPCORN HOLDER,10,11/16/2025 7:24,0.85,13228,Netherlands
554498,23084,RABBIT NIGHT LIGHT,26,11/22/2025 15:12,2.08,12745,Eire
551304,20725,LUNCH BAG RED RETROSPOT,41,8/2/2025 23:33,1.65,12954,Portugal
537146,71053,WHITE METAL LANTERN,35,12/29/2025 10:54,3.39,18237,Germany
563989,23084,RABBIT NIGHT LIGHT,25,11/5/2025 1:59,2.08,13984,United Kingdom
543188,71053,WHITE METAL LANTERN,26,7/21/2025 1:44,3.39,18017,United Kingdom
554854,71053,WHITE METAL LANTERN,11,11/18/2025 11:01,3.39,14494,United Kingdom
576326,71053,WHITE METAL LANTERN,38,8/11/2025 7:51,3.39,13728,United Kingdom
565483,23203,JUMBO BAG VINTAGE DOILY,2,8/13/2025 20:56,2.05,13749,United Kingdom
571246,POST,POSTAGE,7,9/5/2025 15:10,18,13165,United Kingdom
552645,22383,LUNCH BAG SUKI DESIGN,18,3/29/2025 19:59,1.65,15638,Eire
558628,84406B,CREAM CUPID HEARTS COAT HANGER,27,10/27/2025 5:59,2.75,13165,United Kingdom
549930,POST,POSTAGE,34,2/9/2025 8:35,18,12765,United Kingdom
556719,71053,WHITE METAL LANTERN,27,11/18/2025 22:27,3.39,16565,United Kingdom
579316,22752,SET 7 BABUSHKA NESTING BOXES,17,10/9/2025 14:21,8.5,16863,United Kingdom
562008,47566,PARTY BUNTING,43,3/6/2025 23:45,4.65,15648,United Kingdom
560013,23084,RABBIT NIGHT LIGHT,44,2/15/2025 14:04,2.08,13854,United Kingdom
578336,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,4/23/2025 0:59,2.55,18039,United Kingdom
555023,22423,REGENCY CAKESTAND 3 TIER,25,6/25/2025 11:56,12.75,13113,United Kingdom
557618,POST,POSTAGE,7,8/30/2025 1:13,18,14390,United Kingdom
562755,20725,LUNCH BAG RED RETROSPOT,6,8/29/2025 17:15,1.65,14485,United Kingdom
559493,23203,JUMBO BAG VINTAGE DOILY,24,7/31/2025 18:24,2.05,15375,United Kingdom
549854,22197,POPCORN HOLDER,33,1/5/2025 4:59,0.85,13895,Germany
574679,21212,PACK OF 72 RETROSPOT CAKE CASES,49,4/8/2025 3:38,0.55,14110,United Kingdom
569023,84406B,CREAM CUPID HEARTS COAT HANGER,29,5/1/2025 2:37,2.75,14991,Belgium
543217,85123A,WHITE HANGING HEART T-LIGHT HOLDER,43,5/12/2025 21:08,2.55,16062,Portugal
565815,84879,ASSORTED COLOUR BIRD ORNAMENT,22,11/23/2025 8:20,1.69,16951,United Kingdom
538916,85099B,JUMBO BAG RED RETROSPOT,26,1/27/2025 6:08,2.05,17648,United Kingdom
542776,22752,SET 7 BABUSHKA NESTING BOXES,28,5/9/2025 13:59,8.5,16827,United Kingdom
569608,21212,PACK OF 72 RETROSPOT CAKE CASES,21,5/8/2025 18:36,0.55,18039,United Kingdom
558165,22423,REGENCY CAKESTAND 3 TIER,49,12/12/2025 20:33,12.75,14639,United Kingdom
546768,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,6/18/2025 7:14,2.55,17183,United Kingdom
543604,21212,PACK OF 72 RETROSPOT CAKE CASES,17,1/4/2025 9:18,0.55,15054,United Kingdom
543075,85123A,WHITE HANGING HEART T-LIGHT HOLDER,20,5/17/2025 11:43,2.55,17888,United Kingdom
557749,20725,LUNCH BAG RED RETROSPOT,41,5/30/2025 7:37,1.65,13246,United Kingdom
557403,22752,SET 7 BABUSHKA NESTING BOXES,49,7/21/2025 15:36,8.5,15430,United Kingdom
577211,22423,REGENCY CAKESTAND 3 TIER,20,8/10/2025 6:01,12.75,14355,United Kingdom
558812,84879,ASSORTED COLOUR BIRD ORNAMENT,22,9/11/2025 2:05,1.69,12587,United Kingdom
538650,71053,WHITE METAL LANTERN,28,8/27/2025 13:02,3.39,14731,United Kingdom
574356,23084,RABBIT NIGHT LIGHT,40,7/26/2025 13:27,2.08,16614,Australia
549886,84879,ASSORTED COLOUR BIRD ORNAMENT,49,3/30/2025 3:46,1.69,13017,United Kingdom
543336,71053,WHITE METAL LANTERN,7,9/6/2025 13:27,3.39,12509,United Kingdom
565504,85099B,JUMBO BAG RED RETROSPOT,1,4/25/2025 14:27,2.05,12810,United Kingdom
556274,23203,JUMBO BAG VINTAGE DOILY,32,9/27/2025 3:59,2.05,15388,United Kingdom
547896,22383,LUNCH BAG SUKI DESIGN,13,6/28/2025 4:43,1.65,16938,Australia
551086,22383,LUNCH BAG SUKI DESIGN,30,12/28/2025 23:00,1.65,17141,United Kingdom
555571,22383,LUNCH BAG SUKI DESIGN,23,1/10/2025 18:45,1.65,14788,United Kingdom
574076,84406B,CREAM CUPID HEARTS COAT HANGER,19,3/5/2025 5:14,2.75,17144,Germany
542895,POST,POSTAGE,32,2/22/2025 0:52,18,14701,Portugal
547481,47566,PARTY BUNTING,30,5/9/2025 12:03,4.65,18233,Netherlands
536623,22197,POPCORN HOLDER,455,5/24/2025 3:00,0.85,16624,United Kingdom
536647,22197,POPCORN HOLDER,49,3/7/2025 4:57,0.85,17070,United Kingdom
550302,POST,POSTAGE,45,8/26/2025 7:49,18,14903,United Kingdom
538263,22383,LUNCH BAG SUKI DESIGN,29,1/2/2025 3:44,1.65,18173,United Kingdom
540500,23084,RABBIT NIGHT LIGHT,30,5/11/2025 18:33,2.08,12891,United Kingdom
542994,22423,REGENCY CAKESTAND 3 TIER,16,10/2/2025 6:17,12.75,18029,United Kingdom
580301,22752,SET 7 BABUSHKA NESTING BOXES,40,12/16/2025 15:24,8.5,17065,United Kingdom
555949,22423,REGENCY CAKESTAND 3 TIER,19,12/25/2025 18:51,12.75,16181,United Kingdom
559916,22752,SET 7 BABUSHKA NESTING BOXES,18,3/5/2025 21:15,8.5,12939,United Kingdom
569745,22423,REGENCY CAKESTAND 3 TIER,1,10/30/2025 6:21,12.75,17185,Germany
553436,47566,PARTY BUNTING,14,3/12/2025 20:39,4.65,18210,Switzerland
556439,84406B,CREAM CUPID HEARTS COAT HANGER,47,4/30/2025 7:23,2.75,16150,United Kingdom
561553,84406B,CREAM CUPID HEARTS COAT HANGER,2,6/12/2025 8:20,2.75,13805,United Kingdom
538672,22383,LUNCH BAG SUKI DESIGN,28,11/6/2025 14:13,1.65,15839,Spain
576266,85099B,JUMBO BAG RED RETROSPOT,49,12/11/2025 23:53,2.05,14947,United Kingdom
547570,71053,WHITE METAL LANTERN,30,8/4/2025 6:38,3.39,14790,France
542271,85099B,JUMBO BAG RED RETROSPOT,38,4/15/2025 22:41,2.05,15018,United Kingdom
538956,21212,PACK OF 72 RETROSPOT CAKE CASES,106,8/11/2025 20:47,0.55,16546,United Kingdom
551514,84406B,CREAM CUPID HEARTS COAT HANGER,1,5/16/2025 12:09,2.75,12362,Australia
581283,84406B,CREAM CUPID HEARTS COAT HANGER,8,2/23/2025 15:25,2.75,15537,United Kingdom
576316,84879,ASSORTED COLOUR BIRD ORNAMENT,29,6/25/2025 1:14,1.69,12738,United Kingdom
561515,84879,ASSORTED COLOUR BIRD ORNAMENT,39,8/14/2025 23:05,1.69,12770,France
568217,71053,WHITE METAL LANTERN,3,4/3/2025 23:16,3.39,12917,United Kingdom
579235,20725,LUNCH BAG RED RETROSPOT,32,7/25/2025 22:33,1.65,15977,United Kingdom
537648,21212,PACK OF 72 RETROSPOT CAKE CASES,144,8/21/2025 20:04,0.55,13466,Portugal
570056,85099B,JUMBO BAG RED RETROSPOT,10,6/29/2025 1:41,2.05,12587,United Kingdom
537490,23084,RABBIT NIGHT LIGHT,19,4/16/2025 11:16,2.08,16243,Netherlands
537894,84879,ASSORTED COLOUR BIRD ORNAMENT,46,11/19/2025 18:35,1.69,16441,United Kingdom
562535,23084,RABBIT NIGHT LIGHT,34,4/7/2025 20:21,2.08,14625,United Kingdom
544803,85123A,WHITE HANGING HEART T-LIGHT HOLDER,33,3/17/2025 14:44,2.55,13134,United Kingdom
556460,84879,ASSORTED COLOUR BIRD ORNAMENT,23,8/6/2025 15:35,1.69,13060,United Kingdom
552519,47566,PARTY BUNTING,28,6/5/2025 22:15,4.65,17200,Switzerland
544369,20725,LUNCH BAG RED RETROSPOT,32,11/3/2025 13:52,1.65,15195,Switzerland
546117,21212,PACK OF 72 RETROSPOT CAKE CASES,130,12/10/2025 8:02,0.55,13121,United Kingdom
579725,23203,JUMBO BAG VINTAGE DOILY,29,9/24/2025 13:10,2.05,16372,Germany
563184,71053,WHITE METAL LANTERN,8,1/7/2025 2:02,3.39,14593,United Kingdom
572997,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,4/11/2025 6:02,2.55,12424,United Kingdom
562880,23203,JUMBO BAG VINTAGE DOILY,3,2/8/2025 6:10,2.05,16272,United Kingdom
560582,21212,PACK OF 72 RETROSPOT CAKE CASES,493,12/18/2025 4:01,0.55,13201,United Kingdom
559537,85099B,JUMBO BAG RED RETROSPOT,23,6/11/2025 21:03,2.05,17881,United Kingdom
569359,22383,LUNCH BAG SUKI DESIGN,8,10/9/2025 1:46,1.65,14494,Germany
551401,47566,PARTY BUNTING,47,9/23/2025 21:19,4.65,13377,United Kingdom
548104,21212,PACK OF 72 RETROSPOT CAKE CASES,257,2/18/2025 9:29,0.55,17286,United Kingdom
568585,47566,PARTY BUNTING,3,12/18/2025 4:34,4.65,15617,United Kingdom
545952,POST,POSTAGE,33,3/2/2025 7:43,18,15922,United Kingdom
580882,47566,PARTY BUNTING,28,6/22/2025 12:27,4.65,16528,United Kingdom
566494,23084,RABBIT NIGHT LIGHT,47,5/28/2025 2:15,2.08,15802,United Kingdom
537010,POST,POSTAGE,8,8/16/2025 9:20,18,15852,United Kingdom
567295,22423,REGENCY CAKESTAND 3 TIER,34,1/3/2025 3:59,12.75,12753,United Kingdom
552664,23203,JUMBO BAG VINTAGE DOILY,35,11/12/2025 22:24,2.05,15057,United Kingdom
566455,22383,LUNCH BAG SUKI DESIGN,32,5/7/2025 5:40,1.65,15434,United Kingdom
558318,POST,POSTAGE,24,3/20/2025 7:42,18,14014,United Kingdom
562840,85099B,JUMBO BAG RED RETROSPOT,14,7/20/2025 4:53,2.05,12493,United Kingdom
555253,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,8/7/2025 10:53,2.55,16673,Spain
580097,21212,PACK OF 72 RETROSPOT CAKE CASES,181,3/1/2025 17:25,0.55,16243,United Kingdom
552452,22752,SET 7 BABUSHKA NESTING BOXES,43,6/20/2025 16:53,8.5,14296,United Kingdom
545711,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,11/30/2025 1:51,2.55,12711,United Kingdom
536952,22423,REGENCY CAKESTAND 3 TIER,4,12/8/2025 0:18,12.75,14020,United Kingdom
549128,85123A,WHITE HANGING HEART T-LIGHT HOLDER,37,5/25/2025 12:36,2.55,16877,United Kingdom
578310,84406B,CREAM CUPID HEARTS COAT HANGER,21,10/21/2025 1:39,2.75,16840,United Kingdom
540444,85099B,JUMBO BAG RED RETROSPOT,14,10/11/2025 5:20,2.05,17676,United Kingdom
572481,22752,SET 7 BABUSHKA NESTING BOXES,31,12/10/2025 10:11,8.5,17856,United Kingdom
556580,POST,POSTAGE,48,10/17/2025 10:08,18,14892,United Kingdom
562182,POST,POSTAGE,18,8/22/2025 7:23,18,12908,United Kingdom
561130,POST,POSTAGE,7,7/29/2025 14:11,18,15908,United Kingdom
566477,22423,REGENCY CAKESTAND 3 TIER,10,10/25/2025 22:02,12.75,14835,United Kingdom
561921,23084,RABBIT NIGHT LIGHT,7,10/27/2025 21:43,2.08,17726,United Kingdom
554464,23203,JUMBO BAG VINTAGE DOILY,33,6/4/2025 17:39,2.05,13118,Eire
579918,21212,PACK OF 72 RETROSPOT CAKE CASES,305,12/25/2025 4:33,0.55,14383,United Kingdom
581461,20725,LUNCH BAG RED RETROSPOT,21,11/17/2025 23:51,1.65,15769,Portugal
542815,22197,POPCORN HOLDER,111,7/20/2025 2:52,0.85,14913,United Kingdom
549595,23203,JUMBO BAG VINTAGE DOILY,48,9/16/2025 20:57,2.05,17785,Eire
565374,22423,REGENCY CAKESTAND 3 TIER,19,3/16/2025 9:00,12.75,13919,United Kingdom
541798,71053,WHITE METAL LANTERN,36,8/19/2025 8:41,3.39,16040,United Kingdom
570231,85099B,JUMBO BAG RED RETROSPOT,29,11/19/2025 8:20,2.05,17433,Germany
576229,21212,PACK OF 72 RETROSPOT CAKE CASES,18,9/4/2025 13:03,0.55,15637,United Kingdom
555075,23203,JUMBO BAG VINTAGE DOILY,2,1/21/2025 17:21,2.05,13592,United Kingdom
547804,22383,LUNCH BAG SUKI DESIGN,1,12/16/2025 14:01,1.65,16065,United Kingdom
578220,22423,REGENCY CAKESTAND 3 TIER,47,2/10/2025 10:08,12.75,16185,United Kingdom
552386,84406B,CREAM CUPID HEARTS COAT HANGER,5,6/4/2025 23:33,2.75,12705,United Kingdom
542781,22197,POPCORN HOLDER,20,5/29/2025 22:05,0.85,17362,United Kingdom
543345,84406B,CREAM CUPID HEARTS COAT HANGER,11,10/6/2025 3:13,2.75,14722,United Kingdom
554423,POST,POSTAGE,42,1/14/2025 9:34,18,15355,United Kingdom
