InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
530331,22961,JUMBO BAG RED RETROSPOT,37,8/28/2025 17:08,2.08,17013,United Kingdom
530359,22457,CREAM CUPID HEARTS COAT HANGER,51,10/13/2025 11:48,2.75,13181,United Kingdom
530400,21212,PACK OF 72 RETROSPOT CAKE CASES,11,12/18/2025 16:59,0.55,17763,United Kingdom
530024,22720,POPCORN HOLDER,33,9/17/2025 3:55,0.85,17122,United Kingdom
C530303,22961,JUMBO BAG RED RETROSPOT,-2,8/29/2025 1:40,2.08,15169,United Kingdom
530173,22961B,RABBIT NIGHT LIGHT,25,7/30/2025 1:20,2.08,18100,United Kingdom
530078,22383,WHITE HANGING HEART T-LIGHT HOLDER,40,12/6/2025 3:46,2.95,14460,United Kingdom
530047,22197,POPCORN HOLDER,38,9/15/2025 16:10,0.85,12465,EIRE
530184,71053,WHITE METAL LANTERN,16,7/30/2025 18:43,3.39,18492,United Kingdom
530151,21212,PACK OF 72 RETROSPOT CAKE CASES,45,5/20/2025 16:34,0.55,16045,GERMANY
530515,22423,REGENCY CAKESTAND 3 TIER,36,9/8/2025 9:08,12.75,13532,United Kingdom
530503,85099B,PARTY BUNTING,34,10/10/2025 5:21,4.65,16586,PORTUGAL
530339,21212,PACK OF 72 RETROSPOT CAKE CASES,40,2/17/2025 16:41,0.55,13381,United Kingdom
530299,22698,CREAM CUPID HEARTS COAT HANGER,35,11/20/2025 16:36,2.75,13981,SPAIN
530511,21212,PACK OF 72 RETROSPOT CAKE CASES,59,10/30/2025 2:43,0.55,13097,Australia
530276,POST,POSTAGE,42,3/7/2025 21:44,18,18052,Australia
530262,22698,CREAM CUPID HEARTS COAT HANGER,21,3/19/2025 14:04,2.75,15841,GERMANY
530065,21212,PACK OF 72 RETROSPOT CAKE CASES,24,7/3/2025 6:43,0.55,14044,Australia
530492,22961,JUMBO BAG RED RETROSPOT,39,2/25/2025 7:42,2.08,17445,Australia
530351,21755,SET 7 BABUSHKA NESTING BOXES,49,9/13/2025 16:29,8.5,16085,Australia
530362,22698,CREAM CUPID HEARTS COAT HANGER,58,3/13/2025 10:59,2.75,17022,United Kingdom
530261,21172,CREAM CUPID HEARTS COAT HANGER,30,10/24/2025 14:43,2.75,16624,Portugal
